Pokemon_Name,Type,Region,HP,Attack,Evolution_Stage
Charizard,Fire,Kanto,2,95,Final
Machamp,Fighting,Kanto,93,143,Final
Mewtwo,Psychic,Kanto,500,105,Basic
Venusaur,Dragon,Kanto,82,88,Final
Charizard,Fire,Kanto,75,93,Final
Charizard,Fire,Kanto,77,83,Final
Charizard,Fire,Kanto,91,85,Final
Pikachu,Electric,Kanto,48,64,Basic
Blastoise,Water,Kanto,74,82,Final
Blastoise,Water,Kanto,84,97,Final
Dragonite,Dragon,Kanto,2,133,Final
Gengar,Ghost,Kanto,73,250,Final
Blastoise,Water,Kanto,93,1,Final
Machamp,Fighting,Kanto,97,126,Final
Machamp,Fighting,Kanto,2,128,Final
Venusaur,Grass,Kanto,79,1,Final
Charizard,Fire,Kanto,82,79,Final
Alakazam,Psychic,Kanto,68,47,Final
Venusaur,Grass,Kanto,76,92,Final
Blastoise,Water,Kanto,2,1,Final
Dragonite,Dragon,Kanto,2,133,Final
Venusaur,Grass,Kanto,500,97,Final
Pikachu,Electric,Kanto,42,67,Basic
Charizard,Fire,Kanto,81,80,Final
Dragonite,Dragon,Kanto,95,129,Final
Machamp,Fighting,Kanto,91,125,Final
Alakazam,Psychic,Kanto,300,50,Final
Dragonite,Fighting,Kanto,99,250,Final
Lucario,Fighting,Sinnoh,76,122,Final
Gengar,Ghost,Kanto,61,64,Final
Blastoise,Water,Kanto,74,250,Final
Venusaur,Grass,Kanto,81,91,Final
Gengar,Ghost,Kanto,72,71,Final
Pikachu,Electric,Kanto,37,250,Basic
Machamp,Fighting,Kanto,99,130,Final
Lucario,Fighting,Sinnoh,72,122,Final
Lucario,Fighting,Sinnoh,82,120,Final
Gengar,Ghost,Kanto,55,250,Final
Lucario,Fighting,Sinnoh,69,122,Final
Alakazam,Psychic,Kanto,69,58,Final
Machamp,Fighting,Kanto,89,137,Final
Mewtwo,Psychic,Kanto,117,113,Basic
Charizard,Fire,Kanto,83,400,Final
Mewtwo,Psychic,Kanto,119,119,Basic
Charizard,Fire,Kanto,81,84,Final
Mewtwo,Psychic,Kanto,118,250,Basic
Machamp,Fighting,Kanto,104,133,Final
Mewtwo,Psychic,Kanto,101,108,Basic
Venusaur,Grass,Kanto,76,85,Final
Venusaur,Grass,Kanto,2,94,Final
Blastoise,Water,Kanto,83,89,Final
Gengar,Ghost,Kanto,66,66,Final
Gengar,Ghost,Kanto,72,68,Final
Mewtwo,Psychic,Kanto,118,400,Basic
Dragonite,Dragon,Kanto,97,139,Final
